"ID_number","Diameter_in","Height_ft","Ht2LC_ft"
1,8.5,60.5,30.25
2,2.7,20.4,10.2
3,0.3,4.8,2.4
4,1.3,10.9,5.45
5,0.6,7.5,3.75
6,8.6,61.6,30.8
7,0.6,5.4,2.7
8,3,21,10.5
9,11.1,77.2,38.6
10,18.6,111.1,55.55
11,10.6,71.4,35.7
12,14.1,89.8,44.9
13,1.6,11.2,5.6
14,11.5,74.8,37.4
15,12.4,81.6,40.8
16,16,98.5,49.25
17,9.6,66,33
18,6.8,48.6,24.3
19,7,50,25
20,2.3,17.3,8.65
21,3.8,29.7,14.85
22,0,5,2.5
23,2.1,18.3,9.15
24,1.8,14.1,7.05
25,2.4,19,9.5
26,0.3,4.9,2.45
27,2,13.4,6.7
28,0.4,5.3,2.65
29,7.3,52.2,26.1
30,1.3,11.4,5.7
31,12.3,81.8,40.9
32,11.9,79.9,39.95
33,8.3,58.1,29.05
34,5.4,40.3,20.15
35,3.6,24,12
36,1.7,15.7,7.85
37,6.1,44.6,22.3
38,3,25.9,12.95
39,0.4,5.5,2.75
40,1.1,9.1,4.55
41,1.9,15.1,7.55
42,0.7,6.8,3.4
43,6.7,49.4,24.7
44,0,6.4,3.2
45,10.7,73.3,36.65
46,0.2,4.8,2.4
47,1.3,10.5,5.25
48,3.1,24,12
49,3.1,23.9,11.95
50,5.1,37,18.5
51,5.4,40.9,20.45
52,6.1,46.1,23.05
53,1.5,12.4,6.2
54,5.5,41.9,20.95
55,5.8,43.2,21.6
56,1.5,11,5.5
57,4.2,31.7,15.85
58,1.3,10.1,5.05
59,5,38.7,19.35
60,1.7,12.4,6.2
61,11.7,77.4,38.7
62,13.1,85.1,42.55
63,2.2,18.4,9.2
64,1.7,13.6,6.8
65,0.5,4.2,2.1
66,2.3,20.2,10.1
67,10.1,69.2,34.6
68,3.5,27.1,13.55
69,0,4.2,2.1
70,2.3,16.7,8.35
71,8.4,58.3,29.15
72,0.1,4.8,2.4
73,1.2,8.7,4.35
74,2.8,22.2,11.1
75,4.5,33.6,16.8
76,9.3,63.8,31.9
77,7.7,55.5,27.75
78,2.4,18.1,9.05
79,8.7,59.2,29.6
80,0.3,3.9,1.95
81,0.3,5.6,2.8
82,1.1,9.9,4.95
83,1,7.7,3.85
84,6.7,48.1,24.05
85,10.8,71.5,35.75
86,0.7,6.6,3.3
87,10.5,71.6,35.8
88,10.8,73.7,36.85
89,0.3,3.9,1.95
90,1.1,10,5
91,3.2,24.6,12.3
92,1.1,10.5,5.25
93,0.9,9.3,4.65
94,0.2,5.7,2.85
95,7.5,54.1,27.05
96,5.9,44.3,22.15
97,1.1,9.4,4.7
98,4.1,31.8,15.9
99,22.7,128.1,64.05
100,0,4.2,2.1
101,5.2,41.1,20.55
102,6.1,44.8,22.4
103,5.4,39.8,19.9
104,0.7,7,3.5
105,4.5,37.7,18.85
106,3.5,28,14
107,1.8,15.1,7.55
108,18.4,109.7,54.85
109,4.5,35,17.5
110,10.6,74.3,37.15
111,14,90.2,45.1
112,18,107.2,53.6
113,0.8,7.3,3.65
114,15,94.1,47.05
115,1.2,9.3,4.65
116,0.1,4.9,2.45
117,4.1,30.8,15.4
118,1.2,8.8,4.4
119,3.2,24.7,12.35
120,1,9.6,4.8
121,5.4,39,19.5
122,5.9,44.4,22.2
123,1.1,8.9,4.45
124,9.6,67.2,33.6
125,1.2,10.2,5.1
