"ID_number","Diameter_in","Height_ft"
1,8.5,60.5
2,2.7,20.4
3,0.3,4.8
4,1.3,10.9
5,0.6,7.5
6,8.6,61.6
7,0.6,5.4
8,3,21
9,11.1,77.2
10,18.6,111.1
11,10.6,71.4
12,14.1,89.8
13,1.6,11.2
14,11.5,74.8
15,12.4,81.6
16,16,98.5
17,9.6,66
18,6.8,48.6
19,7,50
20,2.3,17.3
21,3.8,29.7
22,0,5
23,2.1,18.3
24,1.8,14.1
25,2.4,19
26,0.3,4.9
27,2,13.4
28,0.4,5.3
29,7.3,52.2
30,1.3,11.4
31,12.3,81.8
32,11.9,79.9
33,8.3,58.1
34,5.4,40.3
35,3.6,24
36,1.7,15.7
37,6.1,44.6
38,3,25.9
39,0.4,5.5
40,1.1,9.1
41,1.9,15.1
42,0.7,6.8
43,6.7,49.4
44,0,6.4
45,10.7,73.3
46,0.2,4.8
47,1.3,10.5
48,3.1,24
49,3.1,23.9
50,5.1,37
51,5.4,40.9
52,6.1,46.1
53,1.5,12.4
54,5.5,41.9
55,5.8,43.2
56,1.5,11
57,4.2,31.7
58,1.3,10.1
59,5,38.7
60,1.7,12.4
61,11.7,77.4
62,13.1,85.1
63,2.2,18.4
64,1.7,13.6
65,0.5,4.2
66,2.3,20.2
67,10.1,69.2
68,3.5,27.1
69,0,4.2
70,2.3,16.7
71,8.4,58.3
72,0.1,4.8
73,1.2,8.7
74,2.8,22.2
75,4.5,33.6
76,9.3,63.8
77,7.7,55.5
78,2.4,18.1
79,8.7,59.2
80,0.3,3.9
81,0.3,5.6
82,1.1,9.9
83,1,7.7
84,6.7,48.1
85,10.8,71.5
86,0.7,6.6
87,10.5,71.6
88,10.8,73.7
89,0.3,3.9
90,1.1,10
91,3.2,24.6
92,1.1,10.5
93,0.9,9.3
94,0.2,5.7
95,7.5,54.1
96,5.9,44.3
97,1.1,9.4
98,4.1,31.8
99,22.7,128.1
100,0,4.2
101,5.2,41.1
102,6.1,44.8
103,5.4,39.8
104,0.7,7
105,4.5,37.7
106,3.5,28
107,1.8,15.1
108,18.4,109.7
109,4.5,35
110,10.6,74.3
111,14,90.2
112,18,107.2
113,0.8,7.3
114,15,94.1
115,1.2,9.3
116,0.1,4.9
117,4.1,30.8
118,1.2,8.8
119,3.2,24.7
120,1,9.6
121,5.4,39
122,5.9,44.4
123,1.1,8.9
124,9.6,67.2
125,1.2,10.2
126,3.4,26.4
127,6.4,46.6
128,8.9,62.4
129,0,5.2
130,3.4,26.3
131,4,31.6
132,5.5,40.8
133,0.5,6.7
134,0.6,7.1
135,4.9,39.1
136,0.8,6
137,0.3,5.5
138,0.1,6.6
139,1.6,12.5
140,2.3,17.5
141,6.6,49.6
142,14,91.7
143,5.2,38.3
144,3.1,24.9
145,14.2,92.1
146,8.1,57.3
147,0.5,5.6
148,10.9,73.6
149,0.8,8.3
150,1.8,13.8
151,0.3,5.5
152,1.9,14.3
153,1.1,8.7
154,1.1,8.9
155,4,31.9
156,9.2,65.3
157,0.4,5.2
158,0.4,6.6
159,2,17.9
160,0.3,2.8
161,3.4,27.4
162,9.5,65.3
163,4,31.6
164,2.9,22.9
165,0.3,4.9
166,0.5,5.9
167,10.3,69.9
168,2.3,20.6
169,0.5,5.8
170,0.4,3.9
171,3.7,28.9
172,1.4,9.4
173,9.8,69.4
174,0,5.7
175,0.3,3.9
176,5.1,38.7
177,1.5,14.5
178,10.5,72.7
179,4.1,33
180,2.5,20
181,4.2,33
182,5.3,39.6
183,3.3,26.1
184,2.3,18.2
185,3.4,25.7
186,1.6,13.4
187,2.1,16.3
188,0.3,4.5
189,0.7,6.8
190,1.2,10.4
191,10.9,75.7
192,11.6,77.9
193,2.4,19.9
194,4.1,31.2
195,3.6,27.6
196,8.1,57.8
197,2.9,22.8
198,1.8,13.8
199,4,29.3
200,37.9,173.1
201,5.6,41.3
202,2,16
203,3.9,30.1
204,2.6,19.1
205,10.1,69.7
206,0.5,5.9
207,0.6,7.6
208,1.6,11
209,2.3,18
210,4.1,33.7
211,5.7,42
212,3.1,23
213,1.4,10.9
214,0.5,7
215,2.4,17.7
216,5.1,39.6
217,4.5,33.7
218,4,29.4
219,2.7,21.1
220,0.4,5.9
221,1.3,10.7
222,14,90.5
223,3.2,24
224,1.7,12.3
225,2.6,21
226,5.8,41.3
227,4.4,32.9
228,2.3,18.4
229,4.3,31.7
230,6.6,49.5
231,1.1,8.4
232,7.7,56.3
233,3.4,27.8
234,4.4,31.8
235,2.6,22.9
236,0,6.4
237,5.4,40.8
238,4.6,35.4
239,0.7,7.5
240,1.8,13.9
241,0.6,6.1
242,4.8,36.9
243,5.5,41.6
244,15.2,94.9
245,12.6,83.9
246,16.1,101.1
247,1.9,12.5
248,10.2,68.5
249,5.1,39
250,2.2,18.4
251,4.5,34.5
252,1,8.6
253,5.1,38.8
254,12.8,82.5
255,11.7,78.5
256,21.9,122.1
257,4.9,37.5
258,3.8,28
259,8.5,60.1
260,4.1,31.6
261,2.2,15.9
262,2.8,22.3
263,7.7,55.4
264,1.3,10.5
265,3.2,23.9
266,1.8,13.7
267,2.1,16.3
268,7.3,53.2
269,6.5,48.5
270,3.3,26.9
271,3.4,25.8
272,3.8,29.8
273,3.9,30.4
274,0.9,8.4
275,7.2,53
276,0.4,6.7
277,5.6,42.3
278,0.7,6.6
279,3.3,26
280,4.8,34.8
281,4.3,34.2
282,6,45.3
283,1.2,9.1
284,7.7,55.7
285,6.4,47
286,4,29.9
287,6.3,47
288,1.8,16.6
289,0,5.1
290,0.9,6.8
291,4.8,37.1
292,11,73.9
293,4.3,34.2
294,1.9,14.4
295,20.8,120.8
296,9.8,67.6
297,0.5,5.2
298,0.9,5.8
299,7.1,50.4
300,3.6,28
301,1.8,13.8
302,1.7,13.7
303,13.8,88
304,11,74.1
305,19.3,113.9
306,0.1,3.8
307,5,36.6
308,1.8,14.8
309,1.7,13
310,22,123.8
311,5.3,40.3
312,8.6,59.9
313,2.3,18.7
314,9.2,65.5
315,19.5,115.3
316,6,44.1
317,15,94.6
318,4.4,32.3
319,2.8,21.4
320,0.5,5.5
321,1.8,14
322,5.5,41.7
323,5,36.7
324,1.2,11.3
325,3.2,26.8
326,3.1,24.5
327,1.1,8.3
328,8.7,60.5
329,8.4,60
330,13.5,87
331,3.1,24.4
332,3,22.7
333,1.4,11.6
334,11.8,78.3
335,1,8.1
336,8.4,62.3
337,0.5,6.7
338,9.7,69
339,3.8,29.5
340,9.7,68.6
341,12.7,84.5
342,0.1,3.8
343,5.3,40.3
344,4.3,35.1
345,26.3,139.4
346,1.4,11.1
347,17.8,106.9
348,4.2,33
349,24.3,129.1
350,13.4,87.1
351,11.8,78.8
352,9.2,63.1
353,9.5,65.7
354,5.8,42.3
355,0.6,6.3
356,3.8,30.9
357,1.8,13
358,18,108.4
359,12.5,84.4
360,1.1,8.3
361,0.7,7.2
362,3.9,29.6
363,4.8,34.9
364,1.1,10
365,1.4,12.5
366,7.6,55
367,10.9,74.7
368,1.5,13.5
369,12.2,80.3
370,1.9,13.7
371,1.4,11.4
372,1.4,12.8
373,3.3,26
374,0.3,4.9
375,4.4,31.3
376,2.8,21.4
377,3.3,25.5
378,4.4,32.6
379,1.3,9.6
380,0.9,6.2
381,2.3,15.7
382,1.3,9.5
383,1,7.2
384,3.3,24.6
385,12.7,81.8
386,1.7,13.4
387,1.3,10.4
388,0.1,2.9
389,2.2,14.7
390,1.1,9.3
391,2.3,16.3
392,17.8,106.2
393,8.6,61.6
394,0.2,3.9
395,14.1,89.2
396,0.1,4.9
397,8.6,59.8
398,8.1,59.9
399,4.2,31.6
400,12.8,83.1
401,23.5,129.6
402,4.4,31.2
403,2.6,21.3
404,2.8,22.6
405,11.5,79.1
406,0.9,6.9
407,1.8,13.3
408,5.2,38.6
409,2.4,18.9
410,1.6,12.4
411,2.3,18
412,0.7,7.4
413,22.7,126.7
414,1.3,10.9
415,3.5,25.2
416,0.5,6.1
417,1.3,9.7
418,1,8.7
419,2.8,23.6
420,2.2,17.9
421,3.7,28.9
422,1,9.8
423,0.3,3.8
424,4.2,31.5
425,3.4,28.6
426,1,9.8
427,1,10.2
428,2.8,20.8
429,23.8,130.8
430,22.9,126.9
431,1.8,14.2
432,3.9,29.7
433,9.6,64.9
434,2.2,20.6
435,11.6,77.3
436,5.6,42.6
437,5.5,41.2
438,2.6,19.5
439,1.3,11.7
440,6.8,48
441,3.4,25.3
442,4.6,34.7
443,7.4,54.5
444,3,23
445,6,45.3
446,6.4,47.6
447,15.6,97.4
448,0.7,7.5
449,1.8,13.6
450,7.8,57.2
451,10.5,73
452,4.8,35.1
453,1.4,10.4
454,3,24.1
455,8.1,56.3
456,5,37.9
457,3,22.4
458,0.6,10.1
459,1,9
460,5.6,42
461,7.2,52.5
462,1.7,11.8
463,9.9,69
464,5.5,44.9
465,2,15
466,8.1,57.6
467,6.9,49.3
468,2.2,16.4
469,17,105
470,1.4,7.7
471,10.1,70.3
472,10.3,72.5
